# Insumos oficiales del backtest reel 2 (todo con fuente publica; ver backtest-fuentes-2015-2025.candidato.csv para URLs).
# cuota: SP app valoresCuotaFondo (Fondo A, CLP/cuota, fin de mes habil).
# deposito: BCCh TIP captaciones 90d-1a reajustable UF, promedio anual (la base entrega el promedio).
# hipoteca: BCCh colocacion vivienda reajustable UF, promedio 2015. Verificada 28-ago-2026 contra BDE BCCh por Fabrizio.
# uf_dic: UF oficial SII al 31-dic. uf_mes: UF oficial SII al ultimo dia de cada mes
#   (tabla consolidada dia x mes de sii.cl/valores_y_fechas/uf/uf<anio>.htm).
serie,clave,fecha,valor
cuota,HABITAT,2021-01-31,57571.29
cuota,CUPRUM,2021-01-31,56249.86
cuota,HABITAT,2021-02-28,56827.04
cuota,CUPRUM,2021-02-28,55502.49
cuota,HABITAT,2021-03-31,57734.35
cuota,CUPRUM,2021-03-31,56383.33
cuota,HABITAT,2021-04-30,57693.06
cuota,CUPRUM,2021-04-30,56405.60
cuota,HABITAT,2021-05-31,58786.52
cuota,CUPRUM,2021-05-31,57732.54
cuota,HABITAT,2021-06-30,59778.52
cuota,CUPRUM,2021-06-30,58746.55
cuota,HABITAT,2021-07-31,60193.82
cuota,CUPRUM,2021-07-31,59102.27
cuota,HABITAT,2021-08-31,62378.09
cuota,CUPRUM,2021-08-31,61069.35
cuota,HABITAT,2021-09-30,61975.02
cuota,CUPRUM,2021-09-30,60813.84
cuota,HABITAT,2021-10-31,62928.96
cuota,CUPRUM,2021-10-31,61718.07
cuota,HABITAT,2021-11-30,64459.64
cuota,CUPRUM,2021-11-30,63021.65
cuota,HABITAT,2021-12-31,65673.90
cuota,CUPRUM,2021-12-31,64440.60
cuota,HABITAT,2022-01-31,60264.53
cuota,CUPRUM,2022-01-31,59082.89
cuota,HABITAT,2022-02-28,59651.20
cuota,CUPRUM,2022-02-28,58470.28
cuota,HABITAT,2022-03-31,59202.40
cuota,CUPRUM,2022-03-31,57965.45
cuota,HABITAT,2022-04-30,59480.13
cuota,CUPRUM,2022-04-30,58218.52
cuota,HABITAT,2022-05-31,59656.02
cuota,CUPRUM,2022-05-31,58365.54
cuota,HABITAT,2022-06-30,61114.18
cuota,CUPRUM,2022-06-30,59902.48
cuota,HABITAT,2022-07-31,61978.08
cuota,CUPRUM,2022-07-31,60776.34
cuota,HABITAT,2022-08-31,60462.70
cuota,CUPRUM,2022-08-31,59273.24
cuota,HABITAT,2022-09-30,60011.53
cuota,CUPRUM,2022-09-30,58868.48
cuota,HABITAT,2022-10-31,60341.05
cuota,CUPRUM,2022-10-31,59226.44
cuota,HABITAT,2022-11-30,61138.78
cuota,CUPRUM,2022-11-30,60032.98
cuota,HABITAT,2022-12-31,58888.59
cuota,CUPRUM,2022-12-31,57907.77
cuota,HABITAT,2023-01-31,59754.71
cuota,CUPRUM,2023-01-31,58613.15
cuota,HABITAT,2023-02-28,59238.38
cuota,CUPRUM,2023-02-28,58136.68
cuota,HABITAT,2023-03-31,56964.83
cuota,CUPRUM,2023-03-31,55823.00
cuota,HABITAT,2023-04-30,57284.36
cuota,CUPRUM,2023-04-30,56088.76
cuota,HABITAT,2023-05-31,57276.42
cuota,CUPRUM,2023-05-31,55954.13
cuota,HABITAT,2023-06-30,58734.72
cuota,CUPRUM,2023-06-30,57518.73
cuota,HABITAT,2023-07-31,62829.15
cuota,CUPRUM,2023-07-31,61497.48
cuota,HABITAT,2023-08-31,62368.88
cuota,CUPRUM,2023-08-31,61046.47
cuota,HABITAT,2023-09-30,62760.34
cuota,CUPRUM,2023-09-30,61534.14
cuota,HABITAT,2023-10-31,60746.33
cuota,CUPRUM,2023-10-31,59618.60
cuota,HABITAT,2023-11-30,62305.96
cuota,CUPRUM,2023-11-30,61139.74
cuota,HABITAT,2023-12-31,66254.19
cuota,CUPRUM,2023-12-31,65063.54
cuota,HABITAT,2024-01-31,67405.78
cuota,CUPRUM,2024-01-31,66134.99
cuota,HABITAT,2024-02-29,71796.98
cuota,CUPRUM,2024-02-29,70380.02
cuota,HABITAT,2024-03-31,73815.19
cuota,CUPRUM,2024-03-31,72253.90
cuota,HABITAT,2024-04-30,70359.42
cuota,CUPRUM,2024-04-30,68929.66
cuota,HABITAT,2024-05-31,69621.84
cuota,CUPRUM,2024-05-31,68193.04
cuota,HABITAT,2024-06-30,71763.35
cuota,CUPRUM,2024-06-30,70253.64
cuota,HABITAT,2024-07-31,72728.45
cuota,CUPRUM,2024-07-31,71071.11
cuota,HABITAT,2024-08-31,72073.84
cuota,CUPRUM,2024-08-31,70455.81
cuota,HABITAT,2024-09-30,73066.17
cuota,CUPRUM,2024-09-30,71488.24
cuota,HABITAT,2024-10-31,74861.69
cuota,CUPRUM,2024-10-31,73229.75
cuota,HABITAT,2024-11-30,76737.62
cuota,CUPRUM,2024-11-30,75014.62
cuota,HABITAT,2024-12-31,75818.99
cuota,CUPRUM,2024-12-31,73991.94
cuota,HABITAT,2025-01-31,77827.96
cuota,CUPRUM,2025-01-31,76104.86
cuota,HABITAT,2025-02-28,76042.23
cuota,CUPRUM,2025-02-28,74307.95
cuota,HABITAT,2025-03-31,75598.46
cuota,CUPRUM,2025-03-31,73875.67
cuota,HABITAT,2025-04-30,76485.77
cuota,CUPRUM,2025-04-30,74751.72
cuota,HABITAT,2025-05-31,78235.95
cuota,CUPRUM,2025-05-31,76351.96
cuota,HABITAT,2025-06-30,80758.04
cuota,CUPRUM,2025-06-30,78907.27
cuota,HABITAT,2025-07-31,84151.35
cuota,CUPRUM,2025-07-31,82187.40
cuota,HABITAT,2025-08-31,87225.15
cuota,CUPRUM,2025-08-31,85233.54
cuota,HABITAT,2025-09-30,88885.44
cuota,CUPRUM,2025-09-30,86900.59
cuota,HABITAT,2025-10-31,89557.45
cuota,CUPRUM,2025-10-31,87471.83
cuota,HABITAT,2025-11-30,89595.80
cuota,CUPRUM,2025-11-30,87535.68
cuota,HABITAT,2025-12-31,90004.99
cuota,CUPRUM,2025-12-31,87888.82
deposito,TIP_UF_90d1a,2015,1.06
deposito,TIP_UF_90d1a,2016,1.10
deposito,TIP_UF_90d1a,2017,1.03
deposito,TIP_UF_90d1a,2018,0.65
deposito,TIP_UF_90d1a,2019,0.43
deposito,TIP_UF_90d1a,2020,0.18
deposito,TIP_UF_90d1a,2021,0.06
deposito,TIP_UF_90d1a,2022,1.65
deposito,TIP_UF_90d1a,2023,4.95
deposito,TIP_UF_90d1a,2024,2.07
deposito,TIP_UF_90d1a,2025,1.35
hipoteca,BCCh_vivienda_UF,2015,3.68
uf_dic,SII,2014-12-31,24627.10
uf_dic,SII,2015-12-31,25629.09
uf_dic,SII,2016-12-31,26347.98
uf_dic,SII,2017-12-31,26798.14
uf_dic,SII,2018-12-31,27565.79
uf_dic,SII,2019-12-31,28309.94
uf_dic,SII,2020-12-31,29070.33
uf_dic,SII,2021-12-31,30991.74
uf_dic,SII,2022-12-31,35110.98
uf_dic,SII,2023-12-31,36789.36
uf_dic,SII,2024-12-31,38416.69
uf_dic,SII,2025-12-31,39727.96
uf_mes,SII,2015-01-fin,24557.15
uf_mes,SII,2015-02-fin,24545.23
uf_mes,SII,2015-03-fin,24622.78
uf_mes,SII,2015-04-fin,24754.77
uf_mes,SII,2015-05-fin,24904.75
uf_mes,SII,2015-06-fin,24982.96
uf_mes,SII,2015-07-fin,25086.58
uf_mes,SII,2015-08-fin,25194.21
uf_mes,SII,2015-09-fin,25346.89
uf_mes,SII,2015-10-fin,25490.04
uf_mes,SII,2015-11-fin,25598.41
uf_mes,SII,2015-12-fin,25629.09
uf_mes,SII,2016-01-fin,25629.09
uf_mes,SII,2016-02-fin,25717.40
uf_mes,SII,2016-03-fin,25812.05
uf_mes,SII,2016-04-fin,25906.80
uf_mes,SII,2016-05-fin,25993.05
uf_mes,SII,2016-06-fin,26052.07
uf_mes,SII,2016-07-fin,26141.65
uf_mes,SII,2016-08-fin,26209.10
uf_mes,SII,2016-09-fin,26224.30
uf_mes,SII,2016-10-fin,26261.51
uf_mes,SII,2016-11-fin,26313.53
uf_mes,SII,2016-12-fin,26347.98
uf_mes,SII,2017-01-fin,26318.21
uf_mes,SII,2017-02-fin,26392.09
uf_mes,SII,2017-03-fin,26471.94
uf_mes,SII,2017-04-fin,26561.42
uf_mes,SII,2017-05-fin,26630.98
uf_mes,SII,2017-06-fin,26665.09
uf_mes,SII,2017-07-fin,26597.33
uf_mes,SII,2017-08-fin,26604.10
uf_mes,SII,2017-09-fin,26656.79
